,Order No,Order Date,Customer Name,Address,City,State,Customer Type,Account Manager,Order Priority,Product Name,Product Category,Product Container,Ship Mode,Ship Date,Cost Price,Retail Price,Profit Margin,Order Quantity,Sub Total,Discount %,Discount $,Order Total,Shipping Cost,Total,Is Holiday Period,Month,Profit Percentage
423,5175-1,2014-05-06,Tracy Blumstein,"Hoyts Entertainment Quarter 122 Lang Road,Moore Park",Sydney,NSW,Small Business,Tina Carlton,Not Specified,Smiths General Use 3-Ring Binders,Office Supplies,Small Box,Regular Air,08-05-2014,1.18,$1.88,0.7,38.0,$81.45,10%,$6.52,74.93,$1.49,$55.78,False,2014-05,59.32203389830508
424,5175-1,2013-07-24,Karl Brown,"470 Anzac Parade,Kingsford",Sydney,NSW,Corporate,Tina Carlton,Low,Artisan Binder Labels,Office Supplies,Small Pack,Regular Air,26-07-2013,2.45,$3.89,1.44,35.0,$83.52,1%,$7.54,76.19,$7.01,$74.78,False,2013-07,58.77551020408163
425,5175-1,2013-12-08,Larry Tron,"4A Lyons St,Strathfield",Sydney,NSW,Home Office,Tina Carlton,High,Artisan Legal 4-Ring Binder,Office Supplies,Wrap Bag,Regular Air,08-12-2013,13.64,$20.98,7.34,8.0,$427.75,9%,$32.08,404.25,$1.49,$417.33,False,2013-12,53.81231671554252
426,5175-1,2015-01-20,Saphhira Shifley,"Westfield Miranda, 600 Kingsway,Miranda",Sydney,NSW,Corporate,Preston Senome,Critical,Artisan Poly Binder Pockets,Office Supplies,Wrap Bag,Regular Air,21-01-2015,2.26,$3.58,1.32,16.0,$127.12,6%,$11.12,125.1,$5.47,$127.73,True,2015-01,58.40707964601771
427,5177-1,2013-08-17,Valerie Dominguez,"152 Bunnerong Road,Eastgardens",Sydney,NSW,Home Office,Tina Carlton,Not Specified,Artisan Arch Ring Binders,Office Supplies,Small Box,Express Air,17-08-2013,36.02,$58.10,22.08,44.0,$197.80,2%,$3.96,193.84,$1.49,$200.03,False,2013-08,61.29927817878955
428,5177-1,2015-05-29,Grant Carroll,"10 O'Connell St,Sydney",Sydney,NSW,Home Office,Aanya Zhang,Medium,Artisan Printable Repositionable Plastic Tabs,Office Supplies,Small Box,Regular Air,29-05-2015,5.33,$8.60,3.27,50.0,$197.80,7%,$5.96,193.84,$6.19,$200.03,False,2015-05,61.350844277673545
429,5178-1,2014-03-13,Sean ODonnell,"541 Church St ,Richmond",Melbourne,VIC,Home Office,Yvette Biti,Not Specified,"Artisan Flip-Chart Easel Binder, Black",Technology,Medium Box,Express Air,15-03-2014,13.88,$22.38,8.5,45.0,$420.80,3%,$10.16,404.56,$15.10,$400.07,False,2014-03,61.23919308357348
430,5178-1,2015-07-15,Barry Gonzalez,"797 Botany Rd,Rosebery",Sydney,NSW,Corporate,Phoebe Gour,High,Apex Straight Scissors,Office Supplies,Wrap Bag,Regular Air,19-07-2015,5.19,$12.98,7.79,8.0,$279.40,4%,$13.97,263.09,$3.14,$253.95,False,2015-07,150.09633911368013
431,5178-1,2013-05-20,Brad Eason,"1737 Botany Rd,Banksmeadow",Sydney,NSW,Small Business,Nicholas Fernandes,Low,Cando PC940 Copier,Office Supplies,Wrap Bag,Regular Air,22-05-2013,278.99,$449.99,171.0,40.0,$960.30,4%,$9.60,956.7,$49.00,$950.49,False,2013-05,61.2925194451414
432,5178-1,2013-03-16,Christina Vanderzanden,"188 Pitt Street,Sydney",Sydney,NSW,Corporate,Tina Carlton,Low,Apex Elite Stainless Steel Scissors,Office Supplies,Wrap Bag,Regular Air,20-03-2013,3.42,$8.34,4.92,39.0,$136.02,5%,$9.26,124.4,$2.64,$126.85,False,2013-03,143.859649122807
433,5178-1,2013-07-22,Edward Becker,"501 George St,Sydney",Sydney,NSW,Corporate,Samantha Chairs,Not Specified,Cando PC940 Copier,Office Supplies,Small Box,Express Air,26-07-2013,278.99,$449.99,171.0,30.0,"$5,999.80",8%,$269.98,5075.89,$49.00,"$5,124.89",False,2013-07,61.2925194451414
434,5178-1,2014-02-25,Dama Kaniet,"21 Wentworth St,Parramatta",Sydney,NSW,Consumer,Aanya Zhang,Low,Artisan Heavy-Duty EZD  Binder With Locking Rings,Technology,Small Pack,Regular Air,27-02-2014,3.52,$5.58,2.06,35.0,$224.80,5%,$6.02,213.88,$2.99,$221.03,False,2014-02,58.52272727272727
435,5179-1,2016-07-17,Kean Thornton,"Westfield Sydney,Sydney",Sydney,NSW,Corporate,Natasha Song,Critical,"Artisan Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",Office Supplies,Wrap Bag,Regular Air,18-07-2016,4.48,$8.14,3.66,29.0,$52.42,7%,$6.24,56.2,$3.12,$56.25,False,2016-07,81.69642857142857
436,5179-1,2013-06-16,Liz MacKendrick,"224A Gertrude St,Fitzroy",Melbourne,VIC,Small Business,Connor Betts,Not Specified,Artisan Durable Poly Binders,Office Supplies,Small Box,Express Air,16-06-2013,3.37,$5.53,2.16,7.0,$129.12,9%,$9.08,125.26,$6.98,$127.73,False,2013-06,64.09495548961425
437,5180-1,2013-07-22,Rick Hansen,"Macquarie Centre Cnr Herring Road & Waterloo Road,Macquarie Park",Sydney,NSW,Small Business,Nicholas Fernandes,High,Economy Binders,Office Supplies,Wrap Bag,Regular Air,23-07-2013,1.33,$2.08,0.75,23.0,$22.88,10%,$0.23,22.65,$1.49,$24.14,False,2013-07,56.390977443609025
438,5180-1,2013-07-22,Rick Hansen,"Macquarie Centre Cnr Herring Road & Waterloo Road,Macquarie Park",Sydney,NSW,Home Office,Nicholas Fernandes,Not Specified,Economy Binders,Office Supplies,Small Box,Regular Air,23-07-2013,1.33,$2.08,0.75,8.0,$22.88,2%,$0.23,22.65,$1.49,$24.14,False,2013-07,56.390977443609025
439,5180-1,2015-02-09,Sandra Glassco,"224A Gertrude St,Fitzroy",Melbourne,VIC,Home Office,Connor Betts,Not Specified,1726 Digital Answering Machine,Office Supplies,Small Box,Regular Air,11-02-2015,8.82,$20.99,12.17,8.0,$649.30,1%,$51.93,539.05,$4.81,$600.09,False,2015-02,137.98185941043084
440,5180-1,2013-05-20,Roy Skaria,"2/797 Botany Rd,Rosebery",Sydney,NSW,Small Business,Samantha Chairs,Medium,Economy Binders,Office Supplies,Wrap Bag,Regular Air,21-05-2013,1.33,$2.08,0.75,39.0,$23.65,8%,$0.21,22.65,$1.49,$24.44,False,2013-05,56.390977443609025
441,5180-1,2015-08-26,Kelly Williams,"499-501 Lygon Street,Carlton North",Melbourne,VIC,Small Business,Yvette Biti,Critical,Artisan Printable Repositionable Plastic Tabs,Technology,Small Box,Regular Air,28-08-2015,5.33,$8.60,3.27,23.0,$258.34,2%,$0.00,252.84,$6.19,$263.73,False,2015-08,61.350844277673545
442,5181-1,2013-07-22,Edward Becker,"501 George St,Sydney",Sydney,NSW,Corporate,Samantha Chairs,Not Specified,TechSavi Internet Navigator Keyboard,Technology,Small Pack,Regular Air,26-07-2013,6.51,$30.98,24.47,44.0,$898.42,3%,$26.95,871.47,$6.50,$877.97,False,2013-07,375.8832565284178
443,5181-1,2013-08-24,Skye Norling,"48 Albion St,Surry Hills",Sydney,NSW,Corporate,Natasha Song,High,TechSavi Access Keyboard,Office Supplies,Small Box,Regular Air,27-08-2013,10.07,$15.98,5.91,15.0,$862.21,10%,$11.62,566.09,$4.00,$588.54,False,2013-08,58.68917576961271
444,5181-1,2014-09-10,Chuck Magee,"1-2/299 Sussex St,Sydney",Sydney,NSW,Home Office,Aanya Zhang,High,Economy Binders,Office Supplies,Wrap Bag,Regular Air,11-09-2014,1.33,$2.08,0.75,13.0,$29.20,0%,$0.68,28.54,$1.49,$28.43,False,2014-09,56.390977443609025
445,5181-1,2013-10-09,Frank Merwin,"260 Marrickville Rd,Marrickville",Sydney,NSW,Small Business,Nicholas Fernandes,High,Artisan 481 Labels,Office Supplies,Small Box,Regular Air,11-10-2013,1.94,$3.08,1.14,37.0,$25.25,4%,$0.16,23.94,$0.99,$23.54,False,2013-10,58.762886597938135
446,5181-1,2013-05-22,Thais Sissman,"53-55 Liverpool St,Sydney",Sydney,NSW,Home Office,Tina Carlton,Critical,TechSavi Internet Navigator Keyboard,Technology,Small Pack,Regular Air,22-05-2013,6.51,$30.98,24.47,49.0,$936.22,2%,$96.61,871.47,$6.50,$877.97,False,2013-05,375.8832565284178
447,5181-1,2013-07-26,Pauline Webber,"499-501 Lygon Street,Carlton North",Melbourne,VIC,Small Business,Yvette Biti,Not Specified,TechSavi Internet Navigator Keyboard,Office Supplies,Small Pack,Regular Air,27-07-2013,6.51,$30.98,24.47,30.0,$898.42,3%,$26.95,871.47,$6.50,$877.97,False,2013-07,375.8832565284178
448,5181-1,2015-07-30,Lycoris Saunders,"501 George St,Sydney",Sydney,NSW,Consumer,Samantha Chairs,Medium,Smiths Pushpins,Technology,Small Box,Regular Air,31-07-2015,0.94,$1.88,0.94,14.0,$205.36,4%,$12.35,190.25,$0.79,$199.94,False,2015-07,100.0
449,5183-1,2013-07-23,Sean ODonnell,"541 Church St ,Richmond",Melbourne,VIC,Small Business,Yvette Biti,Low,Artisan Hi-Liter Smear-Safe Highlighters,Technology,Large Box,Regular Air,25-07-2013,2.98,$5.84,2.86,40.0,$64.24,4%,$0.64,63.6,$0.83,$64.43,False,2013-07,95.9731543624161
450,5183-1,2013-07-26,Charles Sheldon,"180 High Street,Windsor",Melbourne,VIC,Home Office,Connor Betts,High,Artisan Peinders,Office Supplies,Wrap Bag,Regular Air,28-07-2013,3.65,$5.98,2.33,26.0,$402.93,3%,$24.18,378.75,$1.49,$383.53,False,2013-07,63.83561643835617
451,5184-1,2015-06-08,Jack OBriant,"85-113 Dunning Ave,Rosebery",Sydney,NSW,Small Business,Mihael Khan,High,UGen Ultra Cordless Optical Suite,Technology,Small Box,Express Air,09-06-2015,54.52,$100.97,46.45,42.0,"$24,599.59",10%,"$2,213.96",22375.69,$7.18,"$22,497.16",False,2015-06,85.19809244314013
452,5184-1,2015-05-11,Bill Stewart,"188 Pitt Street,Sydney",Sydney,NSW,Corporate,Tina Carlton,High,Smiths SlimLine Pencil Sharpener,Office Supplies,Wrap Bag,Express Air,13-05-2015,4.79,$11.97,7.18,14.0,$359.92,6%,$27.59,253.65,$5.81,$273.55,False,2015-05,149.8956158663883
453,5185-1,2013-07-15,Ferighting,"8 Rankins Lane ,Melbourne",Melbourne,VIC,Consumer,Connor Betts,Medium,Artisan Hole Reinforcements,Office Supplies,Small Box,Regular Air,17-07-2013,3.99,$6.23,2.24,9.0,$83.82,1%,$7.53,76.19,$6.97,$76.68,False,2013-07,56.14035087719298
454,5185-1,2014-07-30,Denny Joy,"99 Lygon Street,East Brunswick",Melbourne,VIC,Consumer,Connor Betts,Low,"DrawIt Colored Pencils, 48-Color Set",Office Supplies,Wrap Bag,Regular Air,01-08-2014,21.56,$36.55,14.99,21.0,$337.76,0%,$31.53,322.13,$13.89,$340.25,False,2014-07,69.52690166975883
455,5185-1,2013-07-17,Eugene Barchas,"Crown Complex,Southbank",Melbourne,VIC,Home Office,Yvette Biti,High,Binder Posts,Office Supplies,Small Box,Regular Air,17-07-2013,3.5,$5.74,2.24,29.0,$223.24,3%,$2.27,216.58,$5.01,$223.13,False,2013-07,64.0
456,5185-1,2014-12-27,Todd Boyes,"Westfield Miranda, 600 Kingsway,Miranda",Sydney,NSW,Corporate,Preston Senome,Not Specified,Artisan 48 Labels,Office Supplies,Small Box,Regular Air,27-12-2014,3.84,$6.30,2.46,39.0,$259.34,3%,$14.39,239.21,$0.50,$237.20,True,2014-12,64.0625
457,5185-1,2013-07-24,Karl Brown,"470 Anzac Parade,Kingsford",Sydney,NSW,Corporate,Tina Carlton,Not Specified,Artisan Hanging File Binders,Office Supplies,Small Box,Regular Air,26-07-2013,3.65,$5.98,2.33,6.0,$83.72,1%,$7.33,76.19,$1.49,$77.68,False,2013-07,63.83561643835617
458,5185-1,2015-07-04,Denise Monton,"2/797 Botany Rd,Rosebery",Sydney,NSW,Home Office,Samantha Chairs,High,"Artisan Flip-Chart Easel Binder, Black",Office Supplies,Small Box,Regular Air,09-07-2015,13.88,$22.38,8.5,21.0,$544.10,1%,$29.23,475.75,$15.10,$487.63,False,2015-07,61.23919308357348
459,5185-1,2014-08-11,Mark Packer,"Sydney Fish Market, Bank Street, Sydney",Sydney,NSW,Consumer,Phoebe Gour,Not Specified,Artisan Legal 4-Ring Binder,Office Supplies,Wrap Bag,Regular Air,21-08-2014,13.64,$20.98,7.34,32.0,$335.76,1%,$33.53,303.03,$1.49,$300.57,False,2014-08,53.81231671554252
460,5185-2,2014-08-07,John Lucas,"148 Pitt Street,Sydney",Sydney,NSW,Corporate,Tina Carlton,Medium,Binder Clips by OIC,Technology,Large Box,Regular Air,09-08-2014,0.93,$1.48,0.55,30.0,$88.06,9%,$1.76,80.36,$0.70,$88.34,False,2014-08,59.13978494623656
461,5186-1,2013-07-22,Edward Becker,"501 George St,Sydney",Sydney,NSW,Home Office,Samantha Chairs,High,UGen Ultra Cordless Optical Suite,Office Supplies,Small Box,Regular Air,26-07-2013,54.52,$100.97,46.45,12.0,"$1,653.82",6%,$203.76,1548.69,$7.18,"$1,490.19",False,2013-07,85.19809244314013
462,5186-1,2013-06-30,Alan Shonely,"Macquarie Centre Cnr Herring Road & Waterloo Road,Macquarie Park",Sydney,NSW,Corporate,Nicholas Fernandes,Medium,UGen Ultra Cordless Optical Suite,Office Supplies,Small Box,Regular Air,01-07-2013,54.52,$100.97,46.45,42.0,"$3,351.24",6%,$32.57,3333.55,$7.18,"$3,353.54",False,2013-06,85.19809244314013
463,5187-1,2014-03-17,Ritsa Hightower,"1/160 Anzac Parade,Kensington",Sydney,NSW,Home Office,Natasha Song,Critical,Alto Perma 2700 Stacking Storage Drawers,Technology,Medium Box,Regular Air,19-03-2014,8.92,$29.74,20.82,8.0,$52.10,9%,$2.06,48.4,$6.64,$50.00,False,2014-03,233.40807174887894
464,5188-1,2013-07-05,Berenike Kampe,"180 High Street,Windsor",Melbourne,VIC,Consumer,Connor Betts,Low,Binder Posts,Office Supplies,Wrap Bag,Regular Air,07-07-2013,3.5,$5.74,2.24,21.0,$241.34,10%,$7.08,263.81,$5.01,$237.25,False,2013-07,64.0
465,5188-1,2015-02-08,Doug Bickford,"221 Barkly St,St Kilda",Melbourne,VIC,Home Office,Yvette Biti,Low,DrawIt Colored Pencils,Office Supplies,Small Box,Regular Air,10-02-2015,4.37,$9.11,4.74,6.0,$639.30,4%,$59.33,599.88,$2.25,$600.39,False,2015-02,108.46681922196797
466,5188-1,2014-06-29,Daniel Byrd,"96 Liverpool St,Sydney",Sydney,NSW,Corporate,Samantha Chairs,Low,Binder Posts,Technology,Small Box,Regular Air,30-06-2014,3.5,$5.74,2.24,46.0,$263.90,1%,$7.60,236.18,$5.01,$234.27,False,2014-06,64.0
467,5189-1,2013-10-09,Frank Merwin,"24 Addison Rd,Marrickville",Sydney,NSW,Consumer,Radhya Staples,Not Specified,EcoTones Memo Sheets,Office Supplies,Small Box,Regular Air,11-10-2013,2.52,$4.00,1.48,30.0,$24.60,1%,$0.16,25.2,$1.30,$26.90,False,2013-10,58.730158730158735
468,5190-1,2013-08-24,Henry Goldwyn,"541 Church St,Richmond",Melbourne,VIC,Corporate,Yvette Biti,High,Binder Clips by OIC,Technology,Medium Box,Regular Air,27-08-2013,0.93,$1.48,0.55,35.0,$53.36,0%,$4.27,52.29,$0.70,$53.20,False,2013-08,59.13978494623656
469,5191-1,2015-05-04,Christy Brittain,"Shop 1, 186-190 Church Street,Parramatta;46a Macleay Street,Potts Point",Sydney,NSW,Corporate,Mihael Khan,Medium,Binder Posts,Office Supplies,Small Box,Regular Air,06-05-2015,3.5,$5.74,2.24,42.0,$475.58,6%,$32.57,433.15,$5.01,$434.35,False,2015-05,64.0
470,5193-1,2013-07-29,Nick Zandusky,"224A Gertrude St,Fitzroy",Melbourne,VIC,Corporate,Connor Betts,Not Specified,TechSavi Internet Navigator Keyboard,Office Supplies,Wrap Bag,Regular Air,30-07-2013,6.51,$30.98,24.47,30.0,$462.02,3%,$42.55,437.25,$6.50,$437.35,False,2013-07,375.8832565284178
471,5193-1,2013-08-17,Valerie Dominguez,"152 Bunnerong Road,Eastgardens",Sydney,NSW,Corporate,Tina Carlton,High,Self-Adhesive Ring Binder Labels,Office Supplies,Wrap Bag,Regular Air,17-08-2013,2.18,$3.52,1.34,12.0,$86.00,2%,$3.76,58.06,$6.83,$74.58,False,2013-08,61.46788990825688
472,5193-1,2016-04-23,Thomas Thornton,"221 Barkly St,St Kilda",Melbourne,VIC,Corporate,Yvette Biti,High,Artisan Binder Labels,Office Supplies,Wrap Bag,Regular Air,24-04-2016,2.45,$3.89,1.44,24.0,$8.94,5%,$0.55,8.68,$7.01,$10.72,True,2016-04,58.77551020408163
473,5193-1,2014-10-16,Macc Creighton,"Westfield Sydney,Sydney",Sydney,NSW,Corporate,Natasha Song,Medium,Binder Posts,Office Supplies,Small Pack,Express Air,21-10-2014,3.5,$5.74,2.24,8.0,$348.00,3%,$2.44,246.24,$5.01,$244.86,False,2014-10,64.0
474,5193-1,2013-03-27,Erica Smith,"188 Pitt Street,Sydney",Sydney,NSW,Small Business,Tina Carlton,Medium,Apex Box Cutter Scissors,Office Supplies,Small Box,Regular Air,27-03-2013,4.19,$10.23,6.04,45.0,$269.34,0%,$8.79,263.33,$4.68,$284.94,True,2013-03,144.1527446300716
475,5194-1,2013-07-30,Corinna Mitchell,"27 Greenfield Parade,Bankstown",Sydney,NSW,Corporate,Nicholas Fernandes,Medium,Emerson C82 Color Inkjet Printer,Office Supplies,Small Pack,Regular Air,31-07-2013,76.79,$119.99,43.2,30.0,"$2,879.76",8%,$57.60,2822.16,$14.00,"$2,836.16",False,2013-07,56.25732517254851
476,5194-1,2015-01-20,Saphhira Shifley,"Westfield Miranda, 600 Kingsway,Miranda",Sydney,NSW,Home Office,Preston Senome,Not Specified,Artisan 474 Labels,Office Supplies,Small Pack,Regular Air,21-01-2015,1.84,$2.88,1.04,46.0,$23.96,4%,$1.19,22.36,$0.99,$23.13,True,2015-01,56.52173913043478
477,5194-1,2013-03-18,Ben Wallace,"120 Hardware St,Melbourne",Melbourne,VIC,Home Office,Connor Betts,Low,"Angle-D Binders with Locking Rings, Label Holders",Office Supplies,Small Box,Regular Air,20-03-2013,4.53,$7.30,2.77,16.0,$369.20,2%,$3.79,346.25,$7.72,$343.35,False,2013-03,61.147902869757175
478,5194-1,2013-07-30,Corinna Mitchell,"27 Greenfield Parade,Bankstown",Sydney,NSW,Small Business,Nicholas Fernandes,Critical,Emerson C82 Color Inkjet Printer,Office Supplies,Wrap Bag,Regular Air,31-07-2013,76.79,$119.99,43.2,48.0,"$2,879.76",9%,$57.60,2822.16,$14.00,"$2,836.16",False,2013-07,56.25732517254851
479,5195-1,2014-05-02,Vivek Sundaresam,"152 Bunnerong Road,Eastgardens",Sydney,NSW,Corporate,Tina Carlton,Low,Artisan 479 Labels,Office Supplies,Small Pack,Regular Air,03-05-2014,1.59,$2.61,1.02,36.0,$53.92,1%,$2.73,52.39,$0.50,$53.29,True,2014-05,64.15094339622641
480,5195-2,2013-07-31,Alex Grayson,"644 George St,Sydney",Sydney,NSW,Small Business,Radhya Staples,Medium,Beekin 105-Key Black Keyboard,Office Supplies,Wrap Bag,Regular Air,02-08-2013,6.39,$19.98,13.59,35.0,$859.14,4%,$85.91,773.23,$4.00,$777.23,False,2013-07,212.6760563380282
481,5196-1,2013-05-04,Lynn Smith,"61A Bay Road,Wollstonecraft",Sydney,NSW,Small Business,Samantha Chairs,Low,Smiths Metal Binder Clips,Office Supplies,Small Pack,Regular Air,06-05-2013,1.6,$2.62,1.02,47.0,$55.02,4%,$2.64,52.68,$0.80,$53.07,False,2013-05,63.74999999999999
482,5196-1,2013-02-15,Jasper Cacioppo,"24 Addison Rd,Marrickville",Sydney,NSW,Small Business,Radhya Staples,High,Pizazz Drawing Pencil Set,Office Supplies,Small Box,Regular Air,16-02-2013,1.53,$2.78,1.25,1.0,$33.82,4%,$1.38,33.86,$1.34,$32.30,False,2013-02,81.69934640522875
483,5196-1,2013-05-15,Jenna Caffey,"470 Anzac Parade,Kingsford",Sydney,NSW,Consumer,Tina Carlton,Critical,"Multi-Use Personal File Cart and Caster Set, Three Stacking Bins",Office Supplies,Small Box,Regular Air,16-05-2013,14.95,$34.76,19.81,8.0,$309.90,5%,$18.08,28.94,$8.22,$20.40,False,2013-05,132.50836120401337
484,5197-1,2014-12-01,Jesus Ocampo,"60 Commercial Rd,Prahran",Melbourne,VIC,Consumer,Yvette Biti,High,TechSavi Access Keyboard,Office Supplies,Small Pack,Regular Air,08-12-2014,10.07,$15.98,5.91,24.0,$191.52,10%,$0.00,184.0,$4.00,$187.20,False,2014-12,58.68917576961271
485,5197-1,2013-07-03,Mitch Webber,"Hoyts Entertainment Quarter 122 Lang Road,Moore Park",Sydney,NSW,Corporate,Tina Carlton,Critical,Beekin 6 Outlet Metallic Surge Strip,Office Supplies,Small Box,Express Air,05-07-2013,4.46,$10.89,6.43,31.0,$986.06,9%,$97.60,877.52,$4.50,$887.33,False,2013-07,144.17040358744396
486,5198-1,2013-03-11,Art Foster,"Westfield Parramatta,Parramatta",Sydney,NSW,Consumer,Stevie Bacata,Low,Self-Adhesive Ring Binder Labels,Office Supplies,Wrap Bag,Regular Air,13-03-2013,2.18,$3.52,1.34,11.0,$53.32,0%,$4.23,51.29,$6.83,$53.00,False,2013-03,61.46788990825688
487,5198-1,2013-10-26,Shahid Shariari,"3/219 Canley Vale Road,Canley Heights",Sydney,NSW,Consumer,Mihael Khan,Low,Colored Envelopes,Technology,Small Box,Regular Air,28-10-2013,2.25,$3.69,1.44,37.0,$84.08,3%,$7.33,82.37,$2.50,$83.69,False,2013-10,64.0
488,5198-1,2013-10-28,Paul Prost,"120 Hardware St,Melbourne",Melbourne,VIC,Home Office,Yvette Biti,Not Specified,Artisan 474 Labels,Office Supplies,Small Box,Regular Air,29-10-2013,1.84,$2.88,1.04,8.0,$63.62,2%,$4.53,57.22,$0.99,$59.32,False,2013-10,56.52173913043478
489,5198-1,2013-11-18,Phillip Flathmann,"Macquarie Centre Cnr Herring Road & Waterloo Road,Macquarie Park",Sydney,NSW,Corporate,Nicholas Fernandes,Medium,Apex Preferred Stainless Steel Scissors,Technology,Medium Box,Regular Air,20-11-2013,2.5,$5.68,3.18,34.0,$304.96,7%,$6.10,295.6,$3.60,$244.30,False,2013-11,127.2
490,5198-1,2014-03-06,Delfina Latchford,"8 Rankins Lane ,Melbourne",Melbourne,VIC,Corporate,Connor Betts,Not Specified,Artisan Non-Stick Binders,Office Supplies,Wrap Bag,Regular Air,07-03-2014,2.74,$4.49,1.75,30.0,$574.12,3%,$37.14,510.2,$1.49,$517.28,False,2014-03,63.86861313868613
491,5198-1,2013-07-29,Nick Zandusky,"224A Gertrude St,Fitzroy",Melbourne,VIC,Corporate,Connor Betts,Critical,Artisan 479 Labels,Office Supplies,Wrap Bag,Regular Air,30-07-2013,1.59,$2.61,1.02,42.0,$106.58,7%,$40.59,107.29,$0.50,$101.74,False,2013-07,64.15094339622641
492,5198-1,2015-09-02,Giulietta Baptist,"Hoyts Entertainment Quarter 122 Lang Road,Moore Park",Sydney,NSW,Home Office,Tina Carlton,High,"Artisan Flip-Chart Easel Binder, Black",Office Supplies,Small Box,Regular Air,05-09-2015,13.88,$22.38,8.5,35.0,$908.82,3%,$90.88,837.14,$15.10,$889.64,False,2015-09,61.23919308357348
493,5198-1,2013-08-02,Chuck Magee,"1-2/299 Sussex St,Sydney",Sydney,NSW,Consumer,Aanya Zhang,Not Specified,Pizazz Drawing Pencil Set,Office Supplies,Small Box,Regular Air,04-08-2013,1.53,$2.78,1.25,37.0,$111.20,0%,$3.34,107.86,$1.34,$109.20,False,2013-08,81.69934640522875
494,5198-1,2013-06-09,Jim Kriz,"53-55 Liverpool St,Sydney",Sydney,NSW,Home Office,Tina Carlton,Medium,Artisan 487 Labels,Office Supplies,Wrap Bag,Regular Air,10-06-2013,2.29,$3.69,1.4,30.0,$215.40,4%,$8.25,126.81,$0.50,$127.04,False,2013-06,61.135371179039296
495,5198-1,2014-05-17,Deborah Brumfield,"501 George St,Sydney",Sydney,NSW,Corporate,Samantha Chairs,Critical,Apex Preferred Stainless Steel Scissors,Office Supplies,Small Box,Regular Air,18-05-2014,2.5,$5.68,3.18,32.0,$259.60,9%,$10.38,246.22,$3.60,$244.24,False,2014-05,127.2
496,5199-1,2013-12-16,Henry Goldwyn,"541 Church St,Richmond",Melbourne,VIC,Small Business,Yvette Biti,Medium,Artisan 48 Labels,Office Supplies,Wrap Bag,Regular Air,19-12-2013,3.84,$6.30,2.46,21.0,$154.98,4%,$11.00,142.78,$0.50,$132.18,False,2013-12,64.0625
497,5199-1,2015-02-09,Linda Southworth,"359 Crown Street,Surry Hills",Sydney,NSW,Corporate,Phoebe Gour,High,Pizazz Drawing Pencil Set,Office Supplies,Small Pack,Express Air,14-02-2015,1.53,$2.78,1.25,21.0,$62.92,7%,$4.45,52.57,$1.34,$53.07,False,2015-02,81.69934640522875
498,5200-1,2014-02-07,Logan Haushalter,"221 Barkly St,St Kilda",Melbourne,VIC,Corporate,Yvette Biti,Critical,Emerson Stylus 1520 Color Inkjet Printer,Office Supplies,Small Box,Regular Air,16-02-2014,315.61,$500.97,185.36,39.0,"$27,799.52",5%,"$2,303.96",26599.55,$69.30,"$26,722.06",False,2014-02,58.730711954627544
499,5200-1,2013-05-20,Roy Skaria,"2/797 Botany Rd,Rosebery",Sydney,NSW,Home Office,Samantha Chairs,Critical,"Artisan Flip-Chart Easel Binder, Black",Office Supplies,Wrap Bag,Regular Air,21-05-2013,13.88,$22.38,8.5,33.0,$472.73,3%,$0.00,454.3,$15.10,$465.26,False,2013-05,61.23919308357348
500,5200-1,2013-10-26,Shahid Shariari,"3/219 Canley Vale Road,Canley Heights",Sydney,NSW,Home Office,Mihael Khan,Low,Apex Straight Scissors,Office Supplies,Small Box,Express Air,28-10-2013,5.19,$12.98,7.79,49.0,$960.92,1%,$7.34,852.1,$3.14,$854.71,False,2013-10,150.09633911368013
501,5200-1,2015-03-16,Keith Dawkins,"402 Argyle St,Moss Vale",Sydney,NSW,Corporate,Natasha Song,Not Specified,Alto Perma 3000 Stacking Storage Drawers,Office Supplies,Small Box,Regular Air,17-03-2015,8.92,$29.74,20.82,21.0,$500.22,3%,$36.44,473.52,$6.64,$588.32,False,2015-03,233.40807174887894
502,5201-1,2014-02-02,Suzanne McNair,"Crown Complex,Southbank",Melbourne,VIC,Consumer,Connor Betts,Not Specified,Smiths Standard Envelopes,Furniture,Small Pack,Regular Air,07-02-2014,3.52,$5.68,2.16,27.0,$79.90,7%,$5.93,75.51,$1.39,$80.45,True,2014-02,61.36363636363637
503,5201-1,2013-05-20,Eric Barreto,"359 Crown Street,Surry Hills",Sydney,NSW,Corporate,Phoebe Gour,Not Specified,Unpadded Memo Slips,Office Supplies,Small Box,Regular Air,31-05-2013,2.59,$3.98,1.39,39.0,$51.72,3%,$2.23,42.21,$2.97,$48.69,False,2013-05,53.66795366795367
504,5201-1,2013-08-04,Barry Prown,"99 Lygon Street,East Brunswick",Melbourne,VIC,Corporate,Connor Betts,High,Barrel Sharpener,Office Supplies,Small Box,Regular Air,09-08-2013,1.46,$3.57,2.11,25.0,$82.11,3%,$7.39,74.72,$4.17,$78.89,False,2013-08,144.5205479452055
